timestamp,delay_x,delay_y,label
2026-07-10 17:59:14,3,3,rear
2026-07-10 17:59:15,3,3,rear
2026-07-10 17:59:16,3,3,rear
2026-07-23 23:33:55,1,3,front
2026-07-23 23:33:55,4,3,front
2026-07-23 23:33:56,3,3,front
2026-07-23 23:33:56,3,4,front
2026-07-23 23:33:57,4,4,front
2026-07-23 23:34:01,4,4,front
2026-07-23 23:34:01,4,4,front
2026-07-23 23:34:02,4,3,front
2026-07-23 23:34:06,4,3,front
2026-07-23 23:34:06,4,4,front
2026-07-23 23:34:07,4,4,front
2026-07-23 23:34:08,4,3,front
2026-07-23 23:34:09,4,4,front
2026-07-23 23:34:10,4,4,front
2026-07-23 23:34:10,4,4,front
2026-07-23 23:34:12,4,3,front
2026-07-23 23:34:12,4,4,front
2026-07-23 23:34:13,4,4,front
2026-07-23 23:34:14,4,4,front
2026-07-23 23:34:14,1,1,front
2026-07-23 23:34:15,1,4,front
2026-07-23 23:34:15,4,4,front
2026-07-23 23:34:16,3,4,front
2026-07-23 23:34:16,3,4,front
2026-07-23 23:34:17,4,4,front
2026-07-23 23:34:17,4,3,front
2026-07-23 23:34:18,4,4,front
2026-07-23 23:34:19,4,4,front
2026-07-23 23:34:19,4,4,front
2026-07-23 23:34:20,4,3,front
2026-07-23 23:34:20,4,17,front
2026-07-23 23:34:21,4,4,front
2026-07-23 23:34:22,4,3,front
2026-07-23 23:34:23,4,4,front
2026-07-23 23:34:23,4,3,front
2026-07-23 23:34:27,4,1,front
2026-07-23 23:34:27,4,4,front
2026-07-23 23:34:28,4,1,front
2026-07-23 23:34:28,1,1,front
2026-07-23 23:34:29,4,3,front
2026-07-23 23:34:29,4,3,front
2026-07-23 23:34:30,4,3,front
2026-07-23 23:34:30,4,3,front
2026-07-23 23:34:31,4,4,front
2026-07-23 23:34:31,4,3,front
2026-07-23 23:34:32,4,3,front
2026-07-23 23:34:33,1,22,front
2026-07-23 23:34:34,3,4,front
2026-07-23 23:34:35,3,4,front
2026-07-23 23:47:08,0,2,rear
2026-07-23 23:47:08,3,3,rear
2026-07-23 23:47:09,3,3,rear
2026-07-23 23:47:09,3,3,rear
2026-07-23 23:47:10,3,3,rear
2026-07-23 23:47:10,3,3,rear
2026-07-23 23:47:11,3,3,rear
2026-07-23 23:47:11,3,3,rear
2026-07-23 23:47:12,2,3,rear
2026-07-23 23:47:12,2,3,rear
2026-07-23 23:47:13,3,2,rear
2026-07-23 23:47:13,2,3,rear
2026-07-23 23:47:14,3,3,rear
2026-07-23 23:47:15,3,3,rear
2026-07-23 23:47:15,3,3,rear
2026-07-23 23:47:16,3,3,rear
2026-07-23 23:47:16,3,3,rear
2026-07-23 23:47:17,3,3,rear
2026-07-23 23:47:17,3,3,rear
2026-07-23 23:47:19,2,3,rear
2026-07-23 23:47:20,3,3,rear
2026-07-23 23:47:20,2,2,rear
2026-07-23 23:47:21,3,3,rear
2026-07-23 23:47:21,3,2,rear
2026-07-23 23:47:22,3,2,rear
2026-07-23 23:47:23,3,2,rear
2026-07-23 23:47:24,3,3,rear
2026-07-23 23:47:24,0,0,rear
2026-07-23 23:47:25,3,3,rear
2026-07-23 23:47:26,3,3,rear
2026-07-23 23:47:26,2,3,rear
2026-07-23 23:47:27,3,3,rear
2026-07-23 23:47:27,3,3,rear
2026-07-23 23:47:28,3,3,rear
2026-07-23 23:47:28,2,3,rear
2026-07-23 23:47:29,3,3,rear
